repeat,pr_focused_extra,roc_focused_extra,top5_precision_focused_extra,pr_strict_history,roc_strict_history,top5_precision_strict_history,pr_target_history_sensitivity,roc_target_history_sensitivity,top5_precision_target_history_sensitivity
106,0.23809903727322462,0.672579409064706,0.3282674772036474,0.2596631215919249,0.6835248506827043,0.3566362715298885,0.25567020433446586,0.6823718914007106,0.3495440729483283
107,0.2517086986364138,0.6848526945126618,0.34507042253521125,0.2725262855587423,0.6958234735787179,0.37927565392354123,0.2828170791762292,0.6978571764584379,0.3953722334004024
108,0.25133712065685976,0.6817886058376824,0.33665338645418325,0.27135721229305954,0.695956562686397,0.37250996015936255,0.2788745996809783,0.6949744815077552,0.38745019920318724
109,0.2480222228226958,0.6858979469840177,0.3387589013224822,0.2647928341206952,0.6968101907105071,0.37538148524923703,0.2677804677322031,0.6974940741837093,0.38046795523906407
110,0.24248059593126375,0.6808282240522319,0.3460764587525151,0.25830361251550493,0.691767543273766,0.3682092555331992,0.2659295639770684,0.6921764300627338,0.38832997987927564
111,0.2393162654809263,0.682783756702368,0.3313253012048193,0.2611139532810147,0.6954639080400457,0.3644578313253012,0.26607663527459735,0.6955195516903785,0.37349397590361444
112,0.23366596132649495,0.6792446026571433,0.33468559837728196,0.25240159676801566,0.6885764465669303,0.3580121703853955,0.25540398856985574,0.6885136866894204,0.36105476673427994
113,0.26437289460594887,0.6876162716265417,0.3603238866396761,0.28028172824278075,0.701530291381754,0.38360323886639675,0.282820159310424,0.7003159307289373,0.39473684210526316
114,0.24560927062508614,0.6787070352714436,0.3564954682779456,0.2692451042775196,0.6906468042516476,0.38872104733131924,0.27510435308223835,0.6903027069156309,0.39375629405840884
115,0.242038869814549,0.6802886414669531,0.33926805143422356,0.25865726594895183,0.6885140962111554,0.36795252225519287,0.261643440414321,0.6890257817911265,0.3818001978239367
116,0.24509456461751639,0.6828427856017008,0.33867735470941884,0.26809832326195854,0.6960850826500291,0.3877755511022044,0.2752516755066844,0.6964475736157306,0.3777555110220441
117,0.24664706835082062,0.6840696346425574,0.3434959349593496,0.2702959256173032,0.6984878408958111,0.3699186991869919,0.2745129154927224,0.6992736409319324,0.391260162601626
118,0.23788927751082076,0.6756766630201766,0.34626865671641793,0.25975740755455556,0.6883073935785162,0.38407960199004976,0.2657355679429965,0.6870450912652183,0.38109452736318405
119,0.24241938761090026,0.6833103782609043,0.331,0.25573788108857537,0.6932605391548664,0.36,0.26613442150338934,0.6939749813891312,0.362
120,0.23547937219925935,0.6783712885369165,0.32796780684104626,0.2501477968284932,0.6875020160273695,0.352112676056338,0.25378675560155867,0.6872703444908018,0.36619718309859156
121,0.2384033303965742,0.6761756448792906,0.3253012048192771,0.24734702276980103,0.6842946182132614,0.3373493975903614,0.2461258129531424,0.682928261179133,0.34437751004016065
122,0.25422639532515995,0.6801638330701241,0.35864135864135865,0.26821472198737206,0.6911317574223808,0.3866133866133866,0.27143164165564043,0.692480052832953,0.3876123876123876
123,0.2506976453960888,0.680970810717853,0.345,0.2703028566356457,0.6947344506794066,0.387,0.27370362114472574,0.6939248724345565,0.395
124,0.24816587767452075,0.6731058944007711,0.3478691774033697,0.2643222090523404,0.6850223788440106,0.37165510406342916,0.2709751121150039,0.6844281798741002,0.37462834489593655
125,0.23557019529980183,0.6646718406406436,0.3256743256743257,0.25294131443096146,0.6779550219121511,0.34565434565434566,0.25735673892025945,0.6773168821557772,0.36663336663336665
126,0.24420840804721583,0.6805982031072662,0.34375,0.25791092190865184,0.6884732771288226,0.35786290322580644,0.25993898816576544,0.6883615963923543,0.36693548387096775
127,0.24519851134071563,0.6793816248858189,0.349748743718593,0.26638041410750624,0.6968159543471836,0.3798994974874372,0.27823867095715776,0.6970590935559857,0.4020100502512563
128,0.24152062555142456,0.681886611463259,0.3349900596421471,0.25743893740651447,0.6910721608791869,0.34393638170974156,0.26019657459176354,0.6914303677573979,0.36182902584493043
129,0.2233126803138426,0.6660763408570602,0.3187817258883249,0.2395907493311889,0.6767721110331957,0.3472081218274112,0.2385669391032614,0.6755730982163347,0.3431472081218274
130,0.22721491194636514,0.6706791308902829,0.3049147442326981,0.25192544462452354,0.685034913538423,0.35807422266800404,0.26188399983915395,0.686193981858473,0.36810431293881646
131,0.23670376610442642,0.6801864920155145,0.3292806484295846,0.2528451880044583,0.6923461742344537,0.3596757852077001,0.25613676445772293,0.6918341720670165,0.3667679837892604
132,0.24729784969947857,0.6867918394989623,0.35311871227364183,0.2635130125793351,0.6946818199717438,0.3853118712273642,0.27053623527661685,0.694558484451471,0.3893360160965795
133,0.22776167677211784,0.6678269521808631,0.3203203203203203,0.25473295868750434,0.6841088182678301,0.35835835835835833,0.2556532535455233,0.6839429667192745,0.35935935935935936
134,0.2450195861893751,0.6788817025923192,0.3282520325203252,0.26469804034967603,0.6913243004621484,0.36890243902439024,0.2676911343197956,0.6907189581135625,0.37296747967479676
135,0.255821194107189,0.6865304792500799,0.33804238143289606,0.2688319888053555,0.7011927765713826,0.36427850655903127,0.27247035385573704,0.7004367099554508,0.38042381432896066
136,0.2495550250902868,0.6763113937770715,0.35835835835835833,0.27074654478943483,0.6902091080364774,0.3963963963963964,0.2787609702007787,0.6899963629721679,0.40540540540540543
137,0.2609835014667016,0.6815681573081241,0.364,0.2808038847434505,0.6962269863850197,0.404,0.2857035839664007,0.6963011484053234,0.418
138,0.21629996794837988,0.6692441682405186,0.30992978936810434,0.23640723141205808,0.6818117215813384,0.31895687061183553,0.23845663657362146,0.6806832272046688,0.32898696088264795
139,0.2513750378779064,0.6866752832944747,0.36752988047808766,0.27547645456180514,0.7029506875668099,0.3944223107569721,0.2805697599112728,0.7019517067951345,0.39741035856573703
140,0.23398310109921935,0.6786584347245037,0.3383838383838384,0.2551391294301409,0.6904066113333313,0.36363636363636365,0.26077455211517264,0.6901979254639554,0.37575757575757573
141,0.23775712872837768,0.6735207293652599,0.3316782522343595,0.2510448337033525,0.6821517751537102,0.35749751737835156,0.2581331061094956,0.6825532898318892,0.3714001986097319
142,0.23780206915916935,0.6773361616555563,0.3313373253493014,0.2524006069751653,0.6864171693387555,0.3582834331337325,0.2571768888727698,0.6864613138902815,0.37325349301397204
143,0.23028888473372455,0.6843580035957333,0.32326283987915405,0.24295812574587447,0.6926220493115596,0.3333333333333333,0.24480085780979025,0.6916480492194184,0.351460221550856
144,0.2388095936995084,0.6830463044417824,0.3265720081135903,0.26236445030377,0.6976036299560795,0.3671399594320487,0.2724138654162794,0.6982800227140196,0.38640973630831643
145,0.23620474674670364,0.6683273259162417,0.337361530715005,0.2546709079827397,0.6829855784415173,0.36555891238670696,0.2630962640344542,0.6828562069209536,0.3766364551863041
146,0.26005545483612835,0.6826489866620946,0.3667992047713718,0.2760935310633053,0.6911501178200434,0.3976143141153082,0.2786366866166935,0.690736333477571,0.40357852882703776
147,0.23742271198834947,0.6751641781409414,0.3495440729483283,0.2590827276303741,0.6887349853739491,0.3829787234042553,0.26193532482525045,0.6888128546005242,0.3910840932117528
148,0.2428387549364581,0.6724609327148013,0.34787018255578095,0.2563913138364149,0.6804738764327347,0.3671399594320487,0.260023698973786,0.6797905632768786,0.3742393509127789
149,0.24938743763661564,0.6799935993109635,0.3611670020120724,0.2642720926863653,0.6930136376509368,0.369215291750503,0.273900448476843,0.6932998208243364,0.3933601609657948
150,0.24342279784662385,0.6710247800264567,0.33600802407221664,0.26447381488949395,0.6858009524978925,0.35707121364092276,0.27328083351194415,0.6858559950288329,0.37713139418254765
151,0.2344269738203174,0.6791866097230075,0.3350050150451354,0.2532890874568438,0.6939591445180944,0.36609829488465395,0.25851234160221953,0.6929289536087488,0.37011033099297896
